order_id,product_id,add_to_cart_order,reordered
657,1787,1,6319
657,1787,1,6318
657,1787,1,6317
657,1787,1,6316
657,1787,1,6315
657,1787,1,6314
657,1787,1,6313
657,1787,1,6312
657,1787,1,6311
657,1787,1,6310
657,1787,1,6309
657,1787,1,6308
657,1787,1,6307
657,1787,1,6306
657,1787,1,6305
657,1787,1,6304
657,1787,1,6303
657,1787,1,6302
657,1787,1,6301
657,1787,1,6300
657,1787,1,6299
657,1787,1,6298
657,1787,1,6297
657,1787,1,6296
657,1787,1,6295
657,1787,1,6294
657,1787,1,6293
657,1787,1,6292
657,1787,1,6291
657,1787,1,6290
657,1787,1,6289
657,1787,1,6288
657,1787,1,6287
657,1787,1,6286
657,1787,1,6285
657,1787,1,6284
657,1787,1,6283
657,1787,1,6282
657,1787,1,6281
657,1787,1,6280
657,1787,1,6279
657,1787,1,6278
657,1787,1,6277
657,1787,1,6276
657,1787,1,6275
657,1787,1,6274
657,1787,1,6273
657,1787,1,6272
657,1787,1,6271
657,1787,1,6270
657,1787,1,6269
657,1787,1,6268
657,1787,1,6267
657,1787,1,6266
657,1787,1,6265
657,1787,1,6264
657,1787,1,6263
657,1787,1,6262
657,1787,1,6261
657,1787,1,6260
657,1787,1,6259
657,1787,1,6258
657,1787,1,6257
657,1787,1,6256
657,1787,1,6255
657,1787,1,6254
657,1787,1,6253
657,1787,1,6252
657,1787,1,6251
657,1787,1,6250
657,1787,1,6249
657,1787,1,6248
657,1787,1,6247
657,1787,1,6246
657,1787,1,6245
657,1787,1,6244
657,1787,1,6243
657,1787,1,6242
657,1787,1,6241
657,1787,1,6240
657,1787,1,6239
657,1787,1,6238
657,1787,1,6237
657,1787,1,6236
657,1787,1,6235
657,1787,1,6234
657,1787,1,6233
657,1787,1,6232
657,1787,1,6231
657,1787,1,6230
657,1787,1,6229
657,1787,1,6228
657,1787,1,6227
657,1787,1,6226
657,1787,1,6225
657,1787,1,6224
657,1787,1,6223
657,1787,1,6222
657,1787,1,6221
657,1787,1,6220
657,1787,1,6219
657,1787,1,6218
657,1787,1,6217
657,1787,1,6216
657,1787,1,6215
657,1787,1,6214
657,1787,1,6213
657,1787,1,6212
657,1787,1,6211
657,1787,1,6210
657,1787,1,6209
657,1787,1,6208
657,1787,1,6207
657,1787,1,6206
657,1787,1,6205
657,1787,1,6204
657,1787,1,6203
657,1787,1,6202
657,1787,1,6201
657,1787,1,6200
657,1787,1,6199
657,1787,1,6198
657,1787,1,6197
657,1787,1,6196
657,1787,1,6195
657,1787,1,6194
657,1787,1,6193
657,1787,1,6192
657,1787,1,6191
657,1787,1,6190
657,1787,1,6189
657,1787,1,6188
657,1787,1,6187
657,1787,1,6186
657,1787,1,6185
657,1787,1,6184
657,1787,1,6183
657,1787,1,6182
657,1787,1,6181
657,1787,1,6180
657,1787,1,6179
657,1787,1,6178
657,1787,1,6177
657,1787,1,6176
657,1787,1,6175
657,1787,1,6174
657,1787,1,6173
657,1787,1,6172
657,1787,1,6171
657,1787,1,6170
657,1787,1,6169
657,1787,1,6168
657,1787,1,6167
657,1787,1,6166
657,1787,1,6165
657,1787,1,6164
657,1787,1,6163
657,1787,1,6162
657,1787,1,6161
657,1787,1,6160
657,1787,1,6159
657,1787,1,6158
657,1787,1,6157
657,1787,1,6156
657,1787,1,6155
657,1787,1,6154
657,1787,1,6153
657,1787,1,6152
657,1787,1,6151
657,1787,1,6150
657,1787,1,6149
657,1787,1,6148
657,1787,1,6147
657,1787,1,6146
657,1787,1,6145
657,1787,1,6144
657,1787,1,6143
657,1787,1,6142
657,1787,1,6141
657,1787,1,6140
657,1787,1,6139
657,1787,1,6138
657,1787,1,6137
657,1787,1,6136
657,1787,1,6135
657,1787,1,6134
657,1787,1,6133
657,1787,1,6132
657,1787,1,6131
657,1787,1,6130
657,1787,1,6129
657,1787,1,6128
657,1787,1,6127
657,1787,1,6126
657,1787,1,6125
657,1787,1,6124
657,1787,1,6123
657,1787,1,6122
657,1787,1,6121
657,1787,1,6120
657,1787,1,6119
657,1787,1,6118
657,1787,1,6117
657,1787,1,6116
657,1787,1,6115
657,1787,1,6114
657,1787,1,6113
657,1787,1,6112
657,1787,1,6111
657,1787,1,6110
657,1787,1,6109
657,1787,1,6108
657,1787,1,6107
657,1787,1,6106
657,1787,1,6105
657,1787,1,6104
657,1787,1,6103
657,1787,1,6102
657,1787,1,6101
657,1787,1,6100
657,1787,1,6099
657,1787,1,6098
657,1787,1,6097
657,1787,1,6096
657,1787,1,6095
657,1787,1,6094
657,1787,1,6093
657,1787,1,6092
657,1787,1,6091
657,1787,1,6090
657,1787,1,6089
657,1787,1,6088
657,1787,1,6087
657,1787,1,6086
657,1787,1,6085
657,1787,1,6084
657,1787,1,6083
657,1787,1,6082
657,1787,1,6081
657,1787,1,6080
657,1787,1,6079
657,1787,1,6078
657,1787,1,6077
657,1787,1,6076
657,1787,1,6075
657,1787,1,6074
657,1787,1,6073
657,1787,1,6072
657,1787,1,6071
657,1787,1,6070
657,1787,1,6069
657,1787,1,6068
657,1787,1,6067
657,1787,1,6066
657,1787,1,6065
657,1787,1,6064
657,1787,1,6063
657,1787,1,6062
657,1787,1,6061
657,1787,1,6060
657,1787,1,6059
657,1787,1,6058
657,1787,1,6057
657,1787,1,6056
657,1787,1,6055
657,1787,1,6054
657,1787,1,6053
657,1787,1,6052
657,1787,1,6051
657,1787,1,6050
657,1787,1,6049
657,1787,1,6048
657,1787,1,6047
657,1787,1,6046
657,1787,1,6045
657,1787,1,6044
657,1787,1,6043
657,1787,1,6042
657,1787,1,6041
657,1787,1,6040
657,1787,1,6039
657,1787,1,6038
